"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4293","test_questions_and_answers[7]","tests","Fri Apr 25 17:48:52 MSK 2025","passed","Fri Apr 25 17:48:57 MSK 2025","TestMainPage","test_main_page","",""
"","3866","test_questions_and_answers[4]","tests","Fri Apr 25 17:48:17 MSK 2025","broken","Fri Apr 25 17:48:21 MSK 2025","TestMainPage","test_main_page","",""
"","4508","test_questions_and_answers[2]","tests","Fri Apr 25 17:47:53 MSK 2025","passed","Fri Apr 25 17:47:58 MSK 2025","TestMainPage","test_main_page","",""
"","7578","test_redirect_to_dzen","tests","Fri Apr 25 17:50:07 MSK 2025","passed","Fri Apr 25 17:50:15 MSK 2025","TestRedirectPage","test_redirect_page","",""
"","17859","test_create_order[order_button_locator1-order_data1]","tests","Fri Apr 25 17:49:30 MSK 2025","passed","Fri Apr 25 17:49:48 MSK 2025","TestOrderPage","test_order_page","",""
"","4641","test_redirect_to_home","tests","Fri Apr 25 17:49:55 MSK 2025","passed","Fri Apr 25 17:50:00 MSK 2025","TestRedirectPage","test_redirect_page","",""
"","4393","test_questions_and_answers[6]","tests","Fri Apr 25 17:48:41 MSK 2025","passed","Fri Apr 25 17:48:45 MSK 2025","TestMainPage","test_main_page","",""
"","4190","test_questions_and_answers[5]","tests","Fri Apr 25 17:48:29 MSK 2025","passed","Fri Apr 25 17:48:33 MSK 2025","TestMainPage","test_main_page","",""
"","4452","test_questions_and_answers[0]","tests","Fri Apr 25 17:47:28 MSK 2025","passed","Fri Apr 25 17:47:32 MSK 2025","TestMainPage","test_main_page","",""
"","4456","test_questions_and_answers[3]","tests","Fri Apr 25 17:48:06 MSK 2025","passed","Fri Apr 25 17:48:10 MSK 2025","TestMainPage","test_main_page","",""
"","18186","test_create_order[order_button_locator0-order_data0]","tests","Fri Apr 25 17:49:04 MSK 2025","passed","Fri Apr 25 17:49:23 MSK 2025","TestOrderPage","test_order_page","",""
"","4331","test_questions_and_answers[1]","tests","Fri Apr 25 17:47:42 MSK 2025","passed","Fri Apr 25 17:47:46 MSK 2025","TestMainPage","test_main_page","",""
